order_id,customer_id,product_id,quantity,price,date
1001,23,501,2,149.99,2026-08-01
1002,17,503,1,299.99,2026-08-01
1003,23,502,3,49.99,2026-08-02
1004,45,504,1,1299.00,2026-08-02
1005,12,501,5,149.99,2026-08-03
1006,31,505,2,79.99,2026-08-03
1007,17,502,4,49.99,2026-08-04
1008,23,503,1,299.99,2026-08-04
1009,56,506,2,599.00,2026-08-05
1010,12,507,10,19.99,2026-08-05
1011,31,501,1,149.99,2026-08-06
1012,45,504,2,1299.00,2026-08-06
1013,23,505,3,79.99,2026-08-07
1014,17,506,1,599.00,2026-08-07
1015,56,502,6,49.99,2026-08-08
1016,12,503,2,299.99,2026-08-08
1017,31,507,5,19.99,2026-08-09
1018,45,501,2,149.99,2026-08-09
1019,23,504,1,1299.00,2026-08-10
1020,17,505,4,79.99,2026-08-10
1021,56,506,1,599.00,2026-08-11
1022,12,502,3,49.99,2026-08-11
1023,31,503,2,299.99,2026-08-12
1024,45,507,8,19.99,2026-08-12
1025,23,501,1,149.99,2026-08-13
1026,17,504,1,1299.00,2026-08-13
1027,56,505,2,79.99,2026-08-14
1028,12,506,1,599.00,2026-08-14
1029,31,502,4,49.99,2026-08-15
1030,45,503,3,299.99,2026-08-15
1031,23,507,7,19.99,2026-08-16
1032,17,501,2,149.99,2026-08-16
1033,56,504,1,1299.00,2026-08-17
1034,12,505,3,79.99,2026-08-17
1035,31,506,2,599.00,2026-08-17
1036,45,502,5,49.99,2026-08-17
1037,023,501,2,149.99,2026-08-17
1038,"23",502,3,49.99,2026-08-17
1039,999,503,1,299.99,2026-08-17
1040,17,504,-1,1299.00,2026-08-17
1041,12,505,2,-79.99,2026-08-17
1042,31,506,,599.00,2026-08-17
1043,45,507,3,19.99,2026/08/17
1044,23,501,2,149.99,17-08-2026
1045,56,999,1,599.00,2026-08-17
1046,12,502,3,49.99,2026-08-18
1047,31,503,2,299.99,2026-08-18
1048,45,504,1,1299.00,2026-08-18
1049,23,505,4,79.99,2026-08-18
1050,17,506,2,599.00,2026-08-18
1050,17,506,2,599.00,2026-08-18
1051,56,507,5,19.99,2026-08-19
1052,12,501,1,149.99,2026-08-19
1053,31,502,3,49.99,2026-08-19
1054,45,503,2,299.99,2026-08-19
1055,23,504,1,1299.00,2026-08-20
1056,17,505,3,79.99,2026-08-20
1057,56,506,1,599.00,2026-08-20
1058,12,507,9,19.99,2026-08-20
